"id","parent_id","title"
"1","62","CALL NOT PICKED"
"2","64","NOT INTERESTED"
"3","64","NOT ELEGIBLE"
"4","62","DOCUMENT PENDING"
"5","62","DOCUMENT COLLECTED"
"6","62","FILE LOGIN"
"7","64","LOAN DECLINED"
"8","63","LOAN APPROVED- DISBURSAL PENDING"
"9","63","LOAN DISBURSED PAYOUT RELEASED"
"10","62","PENDING"
"11","62","CV inprocess"
"12","62","Final Audit Inprocess"
"13","62","STB Ready DE Done"
"14","62","STB Done"
"15","63","CARD APPROVED-PAYOUT PENDING"
"16","63","PAYOUT RELEASED - CARD APPROVED"
"17","64","Card Declined"
"18","63","PAYOUT RELEASE OFFLINE"
"19","62","CALL NOT PICKED"
"20","64","NOT INTERESTED"
"21","62","DOCUMENT PENDING"
"22","62","DOCUMENT COLLECTED"
"23","62","QUOTATION SENT"
"24","64","CUSTOMER NOT AGREED"
"25","64","REJECTED"
"26","62","SURVEY INITIATED"
"27","62","SURVEY DONE"
"28","62","PAYMENT LINK SENT"
"29","62","PAYMENT PENDING"
"30","62","PAYMENT DONE"
"31","62","POLICY ON HOLD"
"32","63","POLICY ISSUED"
"33","62","HYPOTHECATION PENDING"
"34","62","RC LIMIT RECEIVED"
"35","63","LOAN DISBURSED- PAYOUT PENDING"
"36","108","ACTION REQUIRED"
"37","62","INCOMPLETE"
"38","62","LEAD ADDED"
"39","64","EXPIRED"
"40","62","LEAD ADDED"
"41","62","LEAD ADDED"
"42","63","PAYOUT RELEASED"
"43","64","REJECTED"
"44","62","LEAD ADDED"
"45","63","PAYOUT RELEASED - ACCOUNT OPENED"
"46","64","REJECTED"
"47","62","LEAD ADDED"
"48","63","PAYOUT RELEASED"
"49","64","REJECTED"
"50","62","LEAD ADDED"
"51","63","PAYOUT RELEASED"
"52","64","REJECTED"
"53","108","ACTION REQUIRED"
"54","108","ACTION REQUIRED"
"55","108","ACTION REQUIRED"
"56","108","ACTION REQUIRED"
"57","63","ACCOUNT OPENED - TRADE PENDING"
"58","63","ACCOUNT OPENED - PAYOUT PENDING"
"59","63","ACCOUNT OPENED - PAYOUT PENDING"
"60","63","ACCOUNT OPENED - PAYOUT PENDING"
"61","63","ACCOUNT OPENED - PAYOUT PENDING"
"62",NULL,"InProgress"
"63",NULL,"Completed"
"64",NULL,"Rejected"
"65","63","PAYOUT RELEASED - TRADING DONE"
"66","63","TRADING DONE - PAYOUT PENDING"
"67","62","LEAD ADDED"
"68","63","ACCOUNT OPENED - PAYOUT PENDING"
"69","63","PAYOUT RELEASED - ACCOUNT OPENED"
"70","64","REJECTED"
"71","108","ACTION REQUIRED"
"72","62","BS Partner Return"
"73","63","SECOND TRADING DONE - PAYOUT PENDING"
"74","63","PAYOUT RELEASED - SECOND TRADING DONE"
"75","63","THIRD TRADING DONE - PAYOUT PENDING"
"76","63","PAYOUT RELEASED - THIRD TRADING DONE"
"77","108","ACTION REQUIRED"
"78","63","DEPOSIT PAYOUT PENDING"
"79","63","DEPOSIT PAYOUT RELEASED"
"80","63","PAYOUT RELEASED OFFLINE"
"81","62","PENDING"
"82","62","PENDING"
"83","62","PENDING"
"84","62","PENDING"
"85","62","PENDING"
"86","62","PENDING"
"87","64","EXPIRED"
"88","64","EXPIRED"
"89","64","EXPIRED"
"90","64","EXPIRED"
"91","64","EXPIRED"
"92","64","EXPIRED"
"93","63","ACCOUNT OPENED - DEPOSIT PENDING"
"94","62","LEAD ADDED"
"95","64","REJECTED"
"96","62","LEAD ADDED"
"97","62","PENDING"
"98","64","EXPIRED"
"99","108","ACTION REQUIRED"
"100","64","REJECTED"
"101","63","ACCOUNT OPENED-PAYOUT PENDING"
"102","63","PAYOUT RELEASED - ACCOUNT OPENED"
"103","63","ACCOUNT OPENED-TRADE PENDING"
"104","63","TRADING DONE-PAYOUT PENDING"
"105","63","PAYOUT RELEASE-TRADING DONE"
"106","63","LOAN APPROVED - PAYOUT PENDING"
"107","63","LOAN APPROVED - PAYOUT RELEASED"
"108",NULL,"ACTION REQUIRED"
"109","63","ACCOUNT OPEN - DEPOSIT PENDING"
"110","63","DEPOSIT DONE - PAYOUT PENDING"
"111","63","DEPOSIT DONE - PAYOUT RELEASED"
"112","62","LEAD ADDED"
"113","62","PENDING"
"114","108","ACTION REQUIRED"
"115","63","ACCOUNT OPENED - TRADE PENDING"
"116","63","ACCOUNT OPENED - PAYOUT PENDING"
"117","63","TRADING DONE - PAYOUT PENDING"
"118","63","PAYOUT RELEASED - ACCOUNT OPENED"
"119","63","PAYOUT RELEASED - TRADING DONE"
"120","64","EXPIRED"
"121","64","REJECTED"
"122","108","ACTION REQUIRED-VKYC"
"123","108","ACTION REQUIRED-VKYC-F"
"124","108","ACTION REQUIRED-CARD SELECTION"
"125","108","ACTION REQUIRED-CARD SELECTION-F"
"126","63","ACCOUNT OPEN - DEPOSIT PENDING"
"127","63","DEPOSIT DONE - PAYOUT PENDING"
"128","63","DEPOSIT DONE - PAYOUT RELEASED"
"129","62","LEAD ADDED PENDING"
"130","62","LEAD ADDED PENDING"
"131","63","CREDIT LINE ISSUED - PAYOUT PENDING"
"132","63","CREDIT LINE ISSUED - PAYOUT RELEASED"
"133","63","CREDIT LINE ISSUED - DISBURSAL PENDING"
